format_raw,Format,Metric,Year,count,Revenue [m$],Units [m]
SACD,CD,Units,1992,1,0,
SACD,CD,Units,1993,1,0,
SACD,CD,Units,1994,1,0,
SACD,CD,Units,1995,1,0,
SACD,CD,Units,1996,1,0,
SACD,CD,Units,1997,1,0,
SACD,CD,Units,1998,1,0,
SACD,CD,Units,1999,1,0,
SACD,CD,Units,2000,1,0,
SACD,CD,Units,2001,1,0,
SACD,CD,Units,2002,1,0,
SACD,CD,Units,2003,1,0,1.3
SACD,CD,Units,2004,1,0,0.8
SACD,CD,Units,2005,1,0,0.5
SACD,CD,Units,2006,1,0,0.3
SACD,CD,Units,2007,1,0,0.2
SACD,CD,Units,2008,1,0,0.1
SACD,CD,Units,2009,1,0,0.1
SACD,CD,Units,2010,1,0,0.1
SACD,CD,Units,2011,1,0,0.1
SACD,CD,Units,2012,1,0,0.065446
SACD,CD,Units,2013,1,0,0.044683
SACD,CD,Units,2014,1,0,0.030486
SACD,CD,Units,2015,1,0,0.041633
SACD,CD,Units,2016,1,0,0.045272
SACD,CD,Units,2017,1,0,0.032749
SACD,CD,Units,2018,1,0,0.032804
SACD,CD,Units,2019,1,0,0.017654
Download Single,Download,Units,1973,1,0,
Download Single,Download,Units,1974,1,0,
Download Single,Download,Units,1975,1,0,
Download Single,Download,Units,1976,1,0,
Download Single,Download,Units,1977,1,0,
Download Single,Download,Units,1978,1,0,
Download Single,Download,Units,1979,1,0,
Download Single,Download,Units,1980,1,0,
Download Single,Download,Units,1981,1,0,
Download Single,Download,Units,1982,1,0,
Download Single,Download,Units,1983,1,0,
Download Single,Download,Units,1984,1,0,
Download Single,Download,Units,1985,1,0,
Download Single,Download,Units,1986,1,0,
Download Single,Download,Units,1987,1,0,
Download Single,Download,Units,1988,1,0,
Download Single,Download,Units,1989,1,0,
Download Single,Download,Units,1990,1,0,
Download Single,Download,Units,1991,1,0,
Download Single,Download,Units,1992,1,0,
Download Single,Download,Units,1993,1,0,
Download Single,Download,Units,1994,1,0,
Download Single,Download,Units,1995,1,0,
Download Single,Download,Units,1996,1,0,
Download Single,Download,Units,1997,1,0,
Download Single,Download,Units,1998,1,0,
Download Single,Download,Units,1999,1,0,
Download Single,Download,Units,2000,1,0,
Download Single,Download,Units,2001,1,0,
Download Single,Download,Units,2002,1,0,
Download Single,Download,Units,2003,1,0,
Download Single,Download,Units,2004,1,0,139.4
Download Single,Download,Units,2005,1,0,366.9
Download Single,Download,Units,2006,1,0,586.4
Download Single,Download,Units,2007,1,0,819.4
Download Single,Download,Units,2008,1,0,1042.7
Download Single,Download,Units,2009,1,0,1124.4
Download Single,Download,Units,2010,1,0,1177.4
Download Single,Download,Units,2011,1,0,1332.3
Download Single,Download,Units,2012,1,0,1402.739373
Download Single,Download,Units,2013,1,0,1332.795366
Download Single,Download,Units,2014,1,0,1154.379327
Download Single,Download,Units,2015,1,0,986.2550359
Download Single,Download,Units,2016,1,0,743.0034138
Download Single,Download,Units,2017,1,0,553.5161518
Download Single,Download,Units,2018,1,0,399.7738523
Download Single,Download,Units,2019,1,0,335.3391935
Download Album,Download,Units,1973,1,0,
Download Album,Download,Units,1974,1,0,
Download Album,Download,Units,1975,1,0,
Download Album,Download,Units,1976,1,0,
Download Album,Download,Units,1977,1,0,
Download Album,Download,Units,1978,1,0,
Download Album,Download,Units,1979,1,0,
Download Album,Download,Units,1980,1,0,
Download Album,Download,Units,1981,1,0,
Download Album,Download,Units,1982,1,0,
Download Album,Download,Units,1983,1,0,
Download Album,Download,Units,1984,1,0,
Download Album,Download,Units,1985,1,0,
Download Album,Download,Units,1986,1,0,
Download Album,Download,Units,1987,1,0,
Download Album,Download,Units,1988,1,0,
Download Album,Download,Units,1989,1,0,
Download Album,Download,Units,1990,1,0,
Download Album,Download,Units,1991,1,0,
Download Album,Download,Units,1992,1,0,
Download Album,Download,Units,1993,1,0,
Download Album,Download,Units,1994,1,0,
Download Album,Download,Units,1995,1,0,
Download Album,Download,Units,1996,1,0,
Download Album,Download,Units,1997,1,0,
Download Album,Download,Units,1998,1,0,
Download Album,Download,Units,1999,1,0,
Download Album,Download,Units,2000,1,0,
Download Album,Download,Units,2001,1,0,
Download Album,Download,Units,2002,1,0,
Download Album,Download,Units,2003,1,0,
Download Album,Download,Units,2004,1,0,4.6
Download Album,Download,Units,2005,1,0,13.6
Download Album,Download,Units,2006,1,0,27.6
Download Album,Download,Units,2007,1,0,49.8
Download Album,Download,Units,2008,1,0,63.6
Download Album,Download,Units,2009,1,0,74.5
Download Album,Download,Units,2010,1,0,85.8
Download Album,Download,Units,2011,1,0,103.9
Download Album,Download,Units,2012,1,0,116.7336318
Download Album,Download,Units,2013,1,0,117.979213
